Tipo;No_Licencia;No_Registro;NombreComercial;EmpresaImportadora;FechaEmision;UMedida;Cantidad;PaisProcedencia;PaisOrigen;AduanadeIngreso; CIF_dolares ; CIF_Q ; TimbresQ ;Exportador;Concentraciones;Componentes;VENTANILLA
LICENCIAS;VIAG-32336-2026;1197-F-4558-18;Black Gold;TILAWA GUATEMALA, S.A.;19/01/2026;LITROS;10080;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $46,976.20 ; Q359,936.34 ; Q591.00 ;Tilawa Agro DM, S.A. - Costa Rica                                        ;4.3% + 0.04% + 2.6% + 36.4% + 0.65% + 2.52% + 1.3% + 0.4% ;CaO, Fe, K2O, MateriaOrganica, MgO, N, P2O5, S;VAI
PERMISOS;VIAG-32337-2026;_1637-1-6;BANOLE;DUWEST GUATEMALA SOCIEDAD ANONIMA;19/01/2026;LITROS;26495;COSTA RICA;ESTADOS UNIDOS DE AMERICA;CORINTO; $30,100.00 ; Q230,629.21 ; Q462.00 ;MTF INTERNATIONAL LLC - Costa Rica                                        ;84% ;PARAFFINICMINERALOIL;VAI
PERMISOS;VIAG-32338-2026;_1637-1-6;BANOLE;DUWEST GUATEMALA SOCIEDAD ANONIMA;19/01/2026;LITROS;26495;COSTA RICA;ESTADOS UNIDOS DE AMERICA;PEDRO DE ALVARADO; $30,100.00 ; Q230,629.21 ; Q462.00 ;MTF INTERNATIONAL LLC - Costa Rica                                        ;84% ;PARAFFINICMINERALOIL;VAI
PERMISOS;VIAG-32339-2026;_1637-1-6;BANOLE;DUWEST GUATEMALA SOCIEDAD ANONIMA;19/01/2026;LITROS;26495;COSTA RICA;ESTADOS UNIDOS DE AMERICA;PEDRO DE ALVARADO; $30,100.00 ; Q230,629.21 ; Q462.00 ;MTF INTERNATIONAL LLC - Costa Rica                                        ;84% ;PARAFFINICMINERALOIL;VAI
PERMISOS;VIAG-32340-2026;_859-09A-15;Clomax Duo 69 WP;MAXIAGRO, SOCIEDAD ANONIMA;19/01/2026;KILOGRAMOS;1503;CHINA;CHINA;PUERTO QUETZAL; $16,232.40 ; Q124,374.27 ; Q355.00 ;Zellag A.G. - China                                             ;9% + 60% ;Dimetomorf, Mancozeb;VAI
PERMISOS;VIAG-32341-2026;_937-33-1;BELLKUTE 30 SC;EMPRESA CENTROAMERICANA DE SERVICIOS, S.A.;19/01/2026;LITROS;400;JAPON;JAPON;PUERTO QUETZAL; $14,833.16 ; Q113,653.16 ; Q344.00 ;Agro Trading Corporation S.A. - Japón                                             ;30% ;IMINOCTADINETRIS(ALBESILATE);VAI
PERMISOS;VIAG-32342-2026;_724-46-20;HERMAX  XTRA   68 SG;MAXIAGRO, SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;400;CHINA;CHINA;PUERTO QUETZAL; $2,480.00 ; Q19,006.37 ; Q89.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;68% ;GLYPHOSATE;VAI
PERMISOS;VIAG-32343-2026;_357-172-3;PARAQUAT TECNICO;DISAGRO DE GUATEMALA, SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;220000;CHINA;CHINA;PUERTO QUETZAL; $508,200.00 ; Q3,894,773.65 ; Q1,521.00 ;INCOFE S.A.S. - China                                             ;42% ;PARAQUAT;VAI
PERMISOS;VIAG-32344-2026;_752-280-7;FORASTERO 35.6 SL;AGROFORTRESS, SOCIEDAD ANONIMA;20/01/2026;LITROS;17000;CHINA;CHINA;PUERTO QUETZAL; $34,340.00 ; Q263,116.51 ; Q494.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;35.6% ;GLYPHOSATE;VAI
PERMISOS;VIAG-32345-2026;_752-78-13;MOLUX / FORSNAILS 6 GB;AGROFORTRESS, SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;8300;CHINA;CHINA;PUERTO QUETZAL; $14,276.00 ; Q109,384.14 ; Q340.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;6% ;Metaldehyde;VAI
