Tipo;No_Licencia;No_Registro;NombreComercial;EmpresaImportadora;FechaEmision;UMedida;Cantidad;PaisProcedencia;PaisOrigen;AduanadeIngreso; CIF_dolares ; CIF_Q ; TimbresQ ;Exportador;Concentraciones;Componentes;VENTANILLA
LICENCIAS;VIAG-33118-2026;595-F-8166-21;SULFATO DE MAGNESIO HEPTAHIDRATADO;GTM GUATEMALA COMERCIO DE PRODUCTOS QUIMICOS;4/03/2026;KILOGRAMOS;70000;CHINA;CHINA;PUERTO QUETZAL; $18,413.68 ; Q141,112.13 ; Q372.00 ;HELIOPOTASSE SAS - China                                             ;16% + 12.8% ;MgO, S;VAI
LICENCIAS;VIAG-33119-2026;595-F-8166-21;SULFATO DE MAGNESIO HEPTAHIDRATADO;GTM GUATEMALA COMERCIO DE PRODUCTOS QUIMICOS;4/03/2026;KILOGRAMOS;70000;CHINA;CHINA;PUERTO QUETZAL; $16,065.56 ; Q123,117.46 ; Q354.00 ;HELIOPOTASSE SAS - China                                             ;16% + 12.8% ;MgO, S;VAI
LICENCIAS;VIAG-33120-2026;595-F-7882-21;FOSFATO MONOAMÓNICO (MAP);GTM GUATEMALA COMERCIO DE PRODUCTOS QUIMICOS;4/03/2026;KILOGRAMOS;100800;CHINA;CHINA;PUERTO QUETZAL; $113,806.02 ; Q872,145.61 ; Q1,103.00 ;Xing Hua International Co. Limited - China                                             ;12% + 61% ;N, P2O5;VAI
LICENCIAS;VIAG-33121-2026;595-F-6861-66;ÁCIDO  BÓRICO;GTM GUATEMALA COMERCIO DE PRODUCTOS QUIMICOS;4/03/2026;KILOGRAMOS;24000;PERU;PERU;PUERTO QUETZAL; $23,256.00 ; Q178,220.96 ; Q409.00 ;INKABOR S.A.C. - Perú                                              ;17.5% ;B;VAI
LICENCIAS;VIAG-33122-2026;_752-F-6331-46-1;ACTIVA;AGROFORTRESS, SOCIEDAD ANONIMA;4/03/2026;LITROS;1008;ITALIA;ITALIA;SANTO TOMAS DE CASTILLA; $3,729.60 ; Q28,581.57 ; Q108.00 ;TAHUAL AGRICOLA, S.A. - Italia                                            ;0.48% + 11.34% + 12.17% + 0.18% ;Aminoacidoslibres, N, P2O5, ZnEDTA;VAI
LICENCIAS;VIAG-33123-2026;_752-F-7223-9-1;TONUS;AGROFORTRESS, SOCIEDAD ANONIMA;4/03/2026;LITROS;400;BRAZIL;BRAZIL;SANTO TOMAS DE CASTILLA; $9,952.00 ; Q76,266.55 ; Q203.00 ;TAHUAL AGRICOLA, S.A. - Brasil                                            ;0.5% + 4% + 1.65% + 10% + 1.5% + 6% + 1.3% + 6% ;CoEDTA, K2O, MgO, Mo, NiEDTA, P2O5, S, ZnEDTA;VAI
LICENCIAS;VIAG-33124-2026;_752-F-7222-9-1;PROFOL EXCLUSIVE;AGROFORTRESS, SOCIEDAD ANONIMA;4/03/2026;LITROS;4000;BRAZIL;BRAZIL;SANTO TOMAS DE CASTILLA; $15,600.00 ; Q119,549.66 ; Q350.00 ;TAHUAL AGRICOLA, S.A. - Brasil                                            ;2% + 0.1% + 3% + 1.65% + 6.5% + 0.1% + 12% + 9.5% + 9% ;B, Cu, K2O, MgO, Mn, Mo, N, S, Zn;VAI
LICENCIAS;VIAG-33125-2026;830-F-2685-57;Agroplex Mg Fe Zn / LPG 456;LABORATORIOS AGROENZYMAS DE GUATEMALA;4/03/2026;LITROS;480;MEXICO;MEXICO;TECUN UMAN; $3,720.00 ; Q28,516.78 ; Q108.00 ;Agroenzymas de Panamá S.A. - México                                            ;2.694% + 6.735% + 7.65% + 1.347% ;FE, MGO, S, ZN;VAI
PERMISOS;VIAG-33126-2026;830-3;AGROKIN V 79,511 SL;LABORATORIOS AGROENZYMAS DE GUATEMALA;4/03/2026;LITROS;480;MEXICO;MEXICO;TECUN UMAN; $5,720.00 ; Q43,848.38 ; Q138.00 ;Agroenzymas de Panamá S.A. - México                                            ;79.511% ;ExtractosdeOrigenVegetalconFitohormonasyVitaminasBiologicamenteActivas,Citocininas,Giberelinas,Auxinas,AcidoFolico,AcidoPantotenico,Riboflavina,Nicotinamida,Colina,Tiamina;VAI
LICENCIAS;VIAG-33127-2026;830-F-2685-57;Agroplex Mg Fe Zn / LPG 456;LABORATORIOS AGROENZYMAS DE GUATEMALA;4/03/2026;LITROS;480;MEXICO;MEXICO;TECUN UMAN; $1,880.00 ; Q14,411.70 ; Q79.00 ;Agroenzymas de Panamá S.A. - México                                            ;2.694% + 6.735% + 7.65% + 1.347% ;Fe, MgO, S, Zn;VAI
LICENCIAS;VIAG-33128-2026;830-SAF-647-57;DCS3+;LABORATORIOS AGROENZYMAS DE GUATEMALA;4/03/2026;LITROS;120;MEXICO;MEXICO;TECUN UMAN; $860.00 ; Q6,592.59 ; Q33.00 ;AGROENZYMAS DE PANAMÁ S.A. - MÉXICO                                            ;9.3% ;AMINOACIDOSTOTALES;VAI
PERMISOS;VIAG-33129-2026;830-1;Agrokin Plus 85.141 SL;LABORATORIOS AGROENZYMAS DE GUATEMALA;4/03/2026;LITROS;240;MEXICO;MEXICO;TECUN UMAN; $6,000.00 ; Q45,994.80 ; Q142.00 ;Agroenzymas de Panamá S.A. - México                                            ;85.141% ;ExtractodeOrigenVegetal(Citocininas,Giberelinas,Auxinas,AcidoFolico,AcidoPantotenico,Riboflavina,Nicotinamida,Colina,NiacinayTiamina);VAI
PERMISOS;VIAG-33130-2026;830-2;ROOTING / AGROKEL 81.017 SL;LABORATORIOS AGROENZYMAS DE GUATEMALA;4/03/2026;LITROS;800;MEXICO;MEXICO;TECUN UMAN; $9,200.00 ; Q70,525.36 ; Q191.00 ;Agroenzymas de Panamá S.A. - México                                            ;81.017% ;ExtractodeOrigenVegetal,Auxinas,Vitaminas,Citocininas,P2O5;VAI
LICENCIAS;VIAG-33131-2026;830-F-2638-57;Agroplex B-Mo;LABORATORIOS AGROENZYMAS DE GUATEMALA;5/03/2026;LITROS;480;MEXICO;MEXICO;TECUN UMAN; $1,880.00 ; Q14,411.70 ; Q79.00 ;Agroenzymas de Panamá S.A. - México                                            ;13.357% + 0.02% ;B, MO;VAI
PERMISOS;VIAG-33132-2026;_1637-1-6;BANOLE;DUWEST GUATEMALA SOCIEDAD ANONIMA;5/03/2026;LITROS;26495;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $29,750.00 ; Q227,987.34 ; Q458.00 ;MTF CENTRAL AMERICA GUA, S.A. - Estados Unidos                                    ;84% ;Paraffinicmineraloil;VAI
PERMISOS;VIAG-33133-2026;724-62;TORBAN 30,4 SL;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;5/03/2026;LITROS;6000;CHINA;CHINA;PUERTO QUETZAL; $14,880.00 ; Q114,002.08 ; Q345.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;24% + 6.4% ;2,4-D, Picloram;VAI
PERMISOS;VIAG-33134-2026;_1195-22-2;ATRAZINA  90  WG;SEMILLAS E INSUMOS AGROPECUARIOS, SOCIEDAD ANONIMA;5/03/2026;KILOGRAMOS;16380;CHINA;CHINA;PUERTO QUETZAL; $68,796.00 ; Q527,214.02 ; Q758.00 ;Agrohao Company, Ltd - China                                             ;90% ;Atrazina;VAI
LICENCIAS;VIAG-33135-2026;1197-F-4558-18;Black Gold;TILAWA GUATEMALA, S.A.;5/03/2026;LITROS;19080;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $89,483.29 ; Q685,722.98 ; Q916.00 ;Tilawa Agro DM, S.A. - Costa Rica                                        ;4.3% + 0.04% + 2.6% + 36.4% + 0.65% + 2.52% + 1.3% + 0.4% ;CaO, Fe, K2O, MateriaOrganica, MgO, N, P2O5, S;VAI
LICENCIAS;VIAG-33136-2026;1197-F-4558-18;Black Gold;TILAWA GUATEMALA, S.A.;5/03/2026;LITROS;20000;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $93,798.00 ; Q718,787.21 ; Q949.00 ;Tilawa Agro DM, S.A. - Costa Rica                                        ;4.3% + 0.04% + 2.6% + 36.4% + 0.65% + 2.52% + 1.3% + 0.4% ;CaO, Fe, K2O, MateriaOrganica, MgO, N, P2O5, S;VAI
LICENCIAS;VIAG-33137-2026;1389-F-6489-66;MANUBOR GRANULAR;MANUCHAR GUATEMALA, SOCIEDAD ANONIMA;5/03/2026;KILOGRAMOS;25000;PERU;PERU;PUERTO QUETZAL; $25,200.00 ; Q193,111.13 ; Q424.00 ;MANUCHAR NV - Perú                                              ;17.49% ;B;VAI
LICENCIAS;VIAG-33138-2026;1197-F-4558-18;Black Gold;TILAWA GUATEMALA, S.A.;5/03/2026;LITROS;20000;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $93,798.00 ; Q718,787.21 ; Q949.00 ;Tilawa Agro DM, S.A. - Costa Rica                                        ;4.3% + 0.04% + 2.6% + 36.4% + 0.65% + 2.52% + 1.3% + 0.4% ;CaO, Fe, K2O, MateriaOrganica, MgO, N, P2O5, S;VAI
LICENCIAS;VIAG-33139-2026;_752-F-6597-46-3;AMINOLEAF 20-20-20;AGROFORTRESS, SOCIEDAD ANONIMA;12/03/2026;LITROS;4358.4;ITALIA;ITALIA;SANTO TOMAS DE CASTILLA; $10,198.66 ; Q78,156.82 ; Q207.00 ;TAHUAL AGRICOLA, S.A. - Italia                                            ;20% + 20% + 20% ;K2O, N, P2O5;VAI
LICENCIAS;VIAG-33140-2026;1258-F-5626-42;OMEX 10-08-40+TE;GLOBAL AGROINSUMOS DE GUATEMALA SOCIEDAD ANONIMA;6/03/2026;KILOGRAMOS;4000;REINO UNIDO;REINO UNIDO;SANTO TOMAS DE CASTILLA; $9,423.46 ; Q72,224.41 ; Q195.00 ;Omex Agrifluids Limited - Inglaterra                                        ;0.0022% + 0.0016% + 0.007% + 40% + 1% + 0.0042% + 0.0014% + 10% + 8% + 5% + 0.0014% ;B, CU(EDTA), FE(EDTA), K2O, MGO, MN(EDTA), MO, N, P2O5, S, ZN(EDTA);VAI
LICENCIAS;VIAG-33141-2026;1258-F-5625-42;OMEX 13-40-13+TE;GLOBAL AGROINSUMOS DE GUATEMALA SOCIEDAD ANONIMA;6/03/2026;KILOGRAMOS;4000;REINO UNIDO;REINO UNIDO;SANTO TOMAS DE CASTILLA; $9,874.66 ; Q75,682.55 ; Q202.00 ;Omex Agrifluids Limited - Inglaterra                                        ;0.0022% + 0.0016% + 0.007% + 13% + 0.33% + 0.0042% + 0.0014% + 13% + 40% + 0.8% + 0.0014% ;B, Cu(EDTA), Fe(EDTA), K2O, MgO, Mn(EDTA), Mo, N, P2O5, S, Zn(EDTA);VAI
LICENCIAS;VIAG-33142-2026;1258-F-5482-42;OMEX DP 98;GLOBAL AGROINSUMOS DE GUATEMALA SOCIEDAD ANONIMA;6/03/2026;LITROS;576;REINO UNIDO;REINO UNIDO;SANTO TOMAS DE CASTILLA; $3,407.77 ; Q26,118.24 ; Q103.00 ;Omex Agrifluids Limited - Inglaterra                                        ;17.5% + 4% + 37.8% ;K2O, N, P2O5;VAI
LICENCIAS;VIAG-33143-2026;1258-F-5480-42;OMEX KINGFOL ZINC 70%;GLOBAL AGROINSUMOS DE GUATEMALA SOCIEDAD ANONIMA;6/03/2026;LITROS;576;REINO UNIDO;REINO UNIDO;SANTO TOMAS DE CASTILLA; $4,634.65 ; Q35,521.44 ; Q122.00 ;Omex Agrifluids Limited - Inglaterra                                        ;70% ;Zn;VAI
LICENCIAS;VIAG-33144-2026;_752-F-5909-46-1;CALCIOBORO;AGROFORTRESS, SOCIEDAD ANONIMA;6/03/2026;LITROS;2016;ITALIA;ITALIA;PUERTO BARRIOS; $6,672.96 ; Q51,137.83 ; Q153.00 ;TAHUAL AGRICOLA, S.A. - Italia                                            ;2.6% + 12.9% ;B, CaO;VAI
PERMISOS;VIAG-33145-2026;33-671A;ADENGO 46.5 SC;BAYER, SOCIEDAD ANONIMA;6/03/2026;LITROS;720;FRANCIA;FRANCIA;PUERTO BARRIOS; $51,789.60 ; Q396,870.96 ; Q627.00 ;Bayer AG - Francia                                           ;15% + 22.5% + 9% ;CYPROSULFAMIDE, ISOXAFLUTOLE, THIENCARBAZONE-METHYL;VAI
PERMISOS;VIAG-33146-2026;33-699;SERENADE 1.36 SC;BAYER, SOCIEDAD ANONIMA;6/03/2026;LITROS;3200;MEXICO;MEXICO;TECUN UMAN; $13,952.00 ; Q106,916.13 ; Q337.00 ;Bayer AG - México                                            ;1.36% ;BACILLUSSUBTILISCEPAQST713.;VAI
PERMISOS;VIAG-33147-2026;33-699;SERENADE 1.36 SC;BAYER, SOCIEDAD ANONIMA;6/03/2026;LITROS;7200;MEXICO;MEXICO;TECUN UMAN; $38,664.00 ; Q296,287.64 ; Q527.00 ;Bayer AG - México                                            ;1.36% ;BacillussubtiliscepaQST713.;VAI
LICENCIAS;VIAG-33148-2026;595-F-7954-21;FOSFATO MONOPOTASICO (MKP);GTM GUATEMALA COMERCIO DE PRODUCTOS QUIMICOS;6/03/2026;KILOGRAMOS;26000;CHINA;CHINA;PUERTO QUETZAL; $40,040.00 ; Q306,832.13 ; Q537.00 ;Caldic International LLC - China                                             ;34% + 52% ;K2O, P2O5;VAI
LICENCIAS;VIAG-33149-2026;1258-F-5493-42;OMEX BIO 20;GLOBAL AGROINSUMOS DE GUATEMALA SOCIEDAD ANONIMA;6/03/2026;LITROS;1008;REINO UNIDO;REINO UNIDO;SANTO TOMAS DE CASTILLA; $6,638.95 ; Q50,883.04 ; Q152.00 ;Omex Agrifluids Limited - Inglaterra                                        ;0.024% + 0.0012% + 0.073% + 5% + 0.146% + 20% + 1.5% + 0.073% + 0.0012% + 20% + 20% + 0.073% ;B, Co(Edta), Cu(EDTA), ExtractodeAlgaMarina(Eckloniamaxima), Fe(EDTA), K2O, MgO, Mn(EDTA), Mo, N, P2O5, Zn(EDTA);VAI
LICENCIAS;VIAG-33150-2026;1258-F-5484-42;OMEX CALMAX SUPER;GLOBAL AGROINSUMOS DE GUATEMALA SOCIEDAD ANONIMA;6/03/2026;LITROS;2016;REINO UNIDO;REINO UNIDO;SANTO TOMAS DE CASTILLA; $12,471.51 ; Q95,585.64 ; Q230.00 ;Omex Agrifluids Limited - Inglaterra                                        ;0.08% + 24% + 0.08% + 0.16% + 3.2% + 0.16% + 0.016% + 16% + 0.08% ;B, CaO, CuEDTA, Fe(EDTA), MgO, Mn(EDTA), Mo, N, Zn(EDTA);VAI
LICENCIAS;VIAG-33151-2026;1258-F-5481-42;OMEX K-41;GLOBAL AGROINSUMOS DE GUATEMALA SOCIEDAD ANONIMA;6/03/2026;LITROS;7488;REINO UNIDO;REINO UNIDO;SANTO TOMAS DE CASTILLA; $49,695.34 ; Q380,880.99 ; Q611.00 ;Omex Agrifluids Limited - Inglaterra                                        ;41% + 2.5% + 3% + 7.3% ;K2O, MgO, N, S;VAI
LICENCIAS;VIAG-33152-2026;1258-F-5481-42;OMEX K-41;GLOBAL AGROINSUMOS DE GUATEMALA SOCIEDAD ANONIMA;6/03/2026;LITROS;400;REINO UNIDO;REINO UNIDO;SANTO TOMAS DE CASTILLA; $2,285.71 ; Q17,518.41 ; Q86.00 ;Omex Agrifluids Limited - Inglaterra                                        ;41% + 2.5% + 3% + 7.3% ;K2O, MgO, N, S;VAI
LICENCIAS;VIAG-33153-2026;603-F-5746-01;BLAUKORN CLASSIC 12-8-16;FITOQUIMICOS Y FERTILIZANTES ESPECIALES SOCIEDAD ANONIMA;6/03/2026;KILOGRAMOS;200000;BELGICA;ALEMANIA;PUERTO BARRIOS; $202,622.08 ; Q1,552,634.24 ; Q1,286.00 ;Compo Expert Gmbh - Bélgica                                           ;0.02% + 0.06% + 16% + 3% + 12% + 8% + 9% + 0.01% ;B, Fe, K2O, MgO, N, P2O5, S, Zn;VAI
LICENCIAS;VIAG-33154-2026;724-SAF-894-21;SEAROLE;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;6/03/2026;LITROS;12;REPUBLICA DOMINICANA;CHINA;EXPRESS AEREO; $811.09 ; Q6,215.50 ; Q32.00 ;AGROTERRUM, S.R.L. - República Dominicana                              ;50% + 5.62% + 0.55% ;EXTRACTODEALGASMARINAS(LaminariaJaponica), K2O, N;VAI
PERMISOS;VIAG-33155-2026;1241-1;AMINOFOL 5.1 SC;MAXIAGRO, SOCIEDAD ANONIMA;16/03/2026;LITROS;2560;ITALIA;ITALIA;PUERTO BARRIOS; $28,672.00 ; Q219,705.22 ; Q450.00 ;Aminco S.R.L. - Italia                                            ;0.1% + 5% ;FOLICACID, N-ACETYL-A-THIAZOLIDINECARBOXYLICACID;VAI
PERMISOS;VIAG-33156-2026;33-638;PROPAMOCARB HYDROCHLORIDE TECNICO;BAYER, SOCIEDAD ANONIMA;6/03/2026;LITROS;18348.62;ALEMANIA;ALEMANIA;PUERTO BARRIOS; $356,400.00 ; Q2,731,143.10 ; Q1,404.00 ;Bayer AG - Alemania                                          ;69% ;PropamocarbHydrocloride;VAI
PERMISOS;VIAG-33157-2026;33-638;PROPAMOCARB HYDROCHLORIDE TECNICO;BAYER, SOCIEDAD ANONIMA;6/03/2026;LITROS;18348.62;ALEMANIA;ALEMANIA;PUERTO BARRIOS; $356,400.00 ; Q2,731,143.10 ; Q1,404.00 ;Bayer AG - Alemania                                          ;69% ;PropamocarbHydrocloride;VAI
PERMISOS;VIAG-33158-2026;33-638;PROPAMOCARB HYDROCHLORIDE TECNICO;BAYER, SOCIEDAD ANONIMA;6/03/2026;LITROS;18348.62;ALEMANIA;ALEMANIA;SANTO TOMAS DE CASTILLA; $356,400.00 ; Q2,731,143.10 ; Q1,404.00 ;Bayer AG - Alemania                                          ;69% ;PropamocarbHydrocloride;VAI
PERMISOS;VIAG-33159-2026;33-638;PROPAMOCARB HYDROCHLORIDE TECNICO;BAYER, SOCIEDAD ANONIMA;6/03/2026;LITROS;9174.31;ALEMANIA;ALEMANIA;SANTO TOMAS DE CASTILLA; $178,200.00 ; Q1,365,571.55 ; Q1,267.00 ;Bayer AG - Alemania                                          ;69% ;PropamocarbHydrocloride;VAI
PERMISOS;VIAG-33160-2026;33-638;PROPAMOCARB HYDROCHLORIDE TECNICO;BAYER, SOCIEDAD ANONIMA;6/03/2026;LITROS;9174.31;ALEMANIA;ALEMANIA;SANTO TOMAS DE CASTILLA; $178,200.00 ; Q1,365,571.55 ; Q1,267.00 ;Bayer AG - Alemania                                          ;69% ;PropamocarbHydrocloride;VAI
LICENCIAS;VIAG-33161-2026;_1625-SAF-705-28-2;FERTIUM FORTIUM;AGROCENTRO SOCIEDAD ANONIMA;6/03/2026;KILOGRAMOS;4000;ESPAÑA;ESPAÑA;SANTO TOMAS DE CASTILLA; $35,500.96 ; Q272,033.56 ; Q503.00 ;Fertinagro Biotech International, S.L.U. - España                                            ;45% + 30% + 10% ;ACIDOSFULVICOS, ACIDOSHUMICOS, K2O;VAI
LICENCIAS;VIAG-33162-2026;_1625-SAF-705-28-2;FERTIUM FORTIUM;AGROCENTRO SOCIEDAD ANONIMA;6/03/2026;KILOGRAMOS;2000;ESPAÑA;ESPAÑA;SANTO TOMAS DE CASTILLA; $17,750.48 ; Q136,016.78 ; Q367.00 ;Fertinagro Biotech International, S.L.U. - España                                            ;45% + 30% + 10% ;AcidosFulvicos, AcidosHumicos, K2O;VAI
LICENCIAS;VIAG-33163-2026;_1625-SAF-706-28- 2;FERTIUM SUPERAMIN;AGROCENTRO SOCIEDAD ANONIMA;6/03/2026;KILOGRAMOS;2000;ESPAÑA;ESPAÑA;SANTO TOMAS DE CASTILLA; $24,958.24 ; Q191,247.76 ; Q422.00 ;FERTINAGRO BIOTECH INTERNATIONAL, S.L.U. - ESPAÑA                                            ;55% ;Aminoacidoslibres;VAI
LICENCIAS;VIAG-33164-2026;595-F-6861-66;ÁCIDO  BÓRICO;GTM GUATEMALA COMERCIO DE PRODUCTOS QUIMICOS;6/03/2026;KILOGRAMOS;3000;PERU;PERU;PUERTO QUETZAL; $3,027.00 ; Q23,120.60 ; Q97.00 ;INKABOR S.A.C. - Perú                                              ;17.5% ;B;VAI
PERMISOS;VIAG-33165-2026;_84-98-11;GUERRERO 35.6  SL;NEGOCIOS RELACIONADOS, S.A.;9/03/2026;LITROS;10936;CHINA;CHINA;PUERTO QUETZAL; $27,886.80 ; Q213,688.46 ; Q444.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;35.6% ;Glifosato;VAI
PERMISOS;VIAG-33166-2026;_84-98-11;GUERRERO 35.6  SL;NEGOCIOS RELACIONADOS, S.A.;9/03/2026;LITROS;13242;CHINA;CHINA;PUERTO QUETZAL; $30,654.50 ; Q234,896.54 ; Q465.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;35.6% ;Glifosato;VAI
PERMISOS;VIAG-33167-2026;_752-162-12;ILUSTRE 4 SC;NEGOCIOS RELACIONADOS, S.A.;9/03/2026;LITROS;2000;CHINA;CHINA;PUERTO QUETZAL; $7,800.00 ; Q59,769.14 ; Q170.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;4% ;Nicosulfuron;VAI
PERMISOS;VIAG-33168-2026;_84-67A-23;PARAQUAT 20 SL;NEGOCIOS RELACIONADOS, S.A.;9/03/2026;LITROS;7000;CHINA;CHINA;PUERTO QUETZAL; $16,870.00 ; Q129,269.92 ; Q360.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;20% ;Paraquat;VAI
PERMISOS;VIAG-33169-2026;_84-32-14;ZPRIM 90 WG;NEGOCIOS RELACIONADOS, S.A.;9/03/2026;KILOGRAMOS;6000;CHINA;CHINA;PUERTO BARRIOS; $26,100.00 ; Q199,996.73 ; Q431.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;90% ;Atrazine;VAI
PERMISOS;VIAG-33170-2026;_1466-11A-1;PQZ  22 SC;PROMOCIONES AGRICOLAS INDUSTRIALES Y COMERCIALES SOCIEDAD ANONIMA;9/03/2026;LITROS;180;JAPON;JAPON;PUERTO QUETZAL; $22,154.66 ; Q169,683.43 ; Q400.00 ;Agro Trading Corporation S.A. - Japón                                             ;22% ;Pyrifluquinazon;VAI
PERMISOS;VIAG-33171-2026;_84-67A-22;SUPERXONE 20 SL;NEGOCIOS RELACIONADOS, S.A.;9/03/2026;LITROS;4510;CHINA;CHINA;PUERTO QUETZAL; $10,247.70 ; Q78,525.15 ; Q208.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;20% ;PARAQUAT;VAI
PERMISOS;VIAG-33172-2026;33-703;FLUPYRADIFURONE TECNICO;BAYER, SOCIEDAD ANONIMA;10/03/2026;KILOGRAMOS;5500;ALEMANIA;ALEMANIA;PUERTO BARRIOS; $946,715.00 ; Q7,254,809.59 ; Q1,856.00 ;Bayer AG - Alemania                                          ;96% ;Flupyradifurone;VAI
PERMISOS;VIAG-33173-2026;78-39;CYCOSIN 50 SC;BASF DE GUATEMALA  SOCIEDAD ANONIMA;10/03/2026;LITROS;1310;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $24,549.40 ; Q188,125.49 ; Q419.00 ;Basf de Costa Rica S.A. - Costa Rica                                        ;50% ;Thiophanate-Methyl;VAI
PERMISOS;VIAG-33174-2026;33-695;Spiromesifen Tecnico;BAYER, SOCIEDAD ANONIMA;10/03/2026;KILOGRAMOS;11000;ALEMANIA;ALEMANIA;SANTO TOMAS DE CASTILLA; $2,133,450.00 ; Q16,348,008.65 ; Q2,765.00 ;Bayer AG - Alemania                                          ;96.5% ;SPIROMESIFEN;VAI
PERMISOS;VIAG-33175-2026;78-116;FORUM 15 DC;BASF DE GUATEMALA  SOCIEDAD ANONIMA;10/03/2026;LITROS;390;COSTA RICA;FRANCIA;PEDRO DE ALVARADO; $12,624.30 ; Q96,741.78 ; Q230.00 ;Basf de Costa Rica S.A. - Costa Rica                                        ;15% ;Dimethomorph;VAI
PERMISOS;VIAG-33176-2026;78-82;KUMULUS 80 WG;BASF DE GUATEMALA  SOCIEDAD ANONIMA;10/03/2026;KILOGRAMOS;2380;COSTA RICA;ALEMANIA;PEDRO DE ALVARADO; $8,258.60 ; Q63,286.81 ; Q177.00 ;Basf de Costa Rica S.A. - Costa Rica                                        ;80% ;SULPHUR;VAI
PERMISOS;VIAG-33177-2026;78-162A;LONSELOR 30 SC;BASF DE GUATEMALA  SOCIEDAD ANONIMA;10/03/2026;LITROS;1260;COSTA RICA;ESPAÑA;PEDRO DE ALVARADO; $43,709.40 ; Q334,951.25 ; Q565.00 ;Basf de Costa Rica S.A. - Costa Rica                                        ;30% ;Fluxapyroxad;VAI
PERMISOS;VIAG-33178-2026;78-100A;Opus 12.5 SC;BASF DE GUATEMALA  SOCIEDAD ANONIMA;10/03/2026;LITROS;2730;COSTA RICA;ESPAÑA;PEDRO DE ALVARADO; $34,206.90 ; Q262,132.26 ; Q493.00 ;Basf de Costa Rica S.A. - Costa Rica                                        ;12.5% ;Epoxiconazole;VAI
PERMISOS;VIAG-33179-2026;78-106;BREAK THRU 100 SL;BASF DE GUATEMALA  SOCIEDAD ANONIMA;10/03/2026;LITROS;12;COSTA RICA;ESTADOS UNIDOS DE AMERICA;PEDRO DE ALVARADO; $349.44 ; Q2,677.81 ; Q20.00 ;Basf de Costa Rica S.A. - Costa Rica                                        ;100% ;polyether-polymethylsiloxanocopolymer;VAI
PERMISOS;VIAG-33180-2026;78-162A;LONSELOR 30 SC;BASF DE GUATEMALA  SOCIEDAD ANONIMA;10/03/2026;LITROS;630;COSTA RICA;ESPAÑA;PEDRO DE ALVARADO; $21,854.70 ; Q167,475.63 ; Q398.00 ;Basf de Costa Rica S.A. - Costa Rica                                        ;30% ;Fluxapyroxad;VAI
PERMISOS;VIAG-33181-2026;78-198A;BASTA 15 SL;BASF DE GUATEMALA  SOCIEDAD ANONIMA;10/03/2026;LITROS;5000;COSTA RICA;ALEMANIA;PEDRO DE ALVARADO; $45,050.00 ; Q345,205.09 ; Q576.00 ;Basf de Costa Rica S.A. - Costa Rica                                        ;15% ;GlufosinateAmmonium;VAI
PERMISOS;VIAG-33182-2026;33-719;THIODICARB TÉCNICO;BAYER, SOCIEDAD ANONIMA;10/03/2026;KILOGRAMOS;5200;ESTADOS UNIDOS DE AMERICA;CHINA;SANTO TOMAS DE CASTILLA; $292,968.00 ; Q2,244,928.82 ; Q1,355.00 ;Bayer AG - Estados Unidos                                    ;95% ;THIODICARB;VAI
PERMISOS;VIAG-33183-2026;78-71;STORM 0.005 BB;BASF DE GUATEMALA  SOCIEDAD ANONIMA;10/03/2026;KILOGRAMOS;600;COSTA RICA;REINO UNIDO;PEDRO DE ALVARADO; $3,306.00 ; Q25,332.92 ; Q101.00 ;Basf de Costa Rica S.A. - Costa Rica                                        ;0.005% ;Flocoumafen;VAI
PERMISOS;VIAG-33184-2026;78-71;STORM 0.005 BB;BASF DE GUATEMALA  SOCIEDAD ANONIMA;10/03/2026;KILOGRAMOS;2500;COSTA RICA;REINO UNIDO;PEDRO DE ALVARADO; $13,650.00 ; Q104,595.99 ; Q335.00 ;Basf de Costa Rica S.A. - Costa Rica                                        ;0.005% ;Flocoumafen;VAI
PERMISOS;VIAG-33185-2026;396-258;BACTOX 17.5 SL;DUWEST GUATEMALA SOCIEDAD ANONIMA;10/03/2026;LITROS;1.2;COLOMBIA;COLOMBIA;SANTO TOMAS DE CASTILLA; $136.00 ; Q1,042.13 ; Q20.00 ;SEMILLAS VALLE S.A - Colombia                                          ;17.5% ;BacillusSubtilis;VAI
